adult,backdrop_path,genre_ids,id,Title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year,Year_released,media_type,origin_country,original_name,first_air_date
False,/pc3GErXMuP9Uol3pPc6Tk5TwWwP.jpg,"[878, 35, 18, 10749]",9296,S1m0ne,en,S1m0ne,"The career of a disillusioned producer, who is desperate for a hit, is endangered when his star walks off the film set. Forced to think fast, the producer decides to digitally create an actress ""Simone"" to sub for the star — the first totally believable synthetic actress.",3.4867,/mdHEOCSGPvwa9pYiV1ZDZ1ihj42.jpg,2002-08-23,False,False,5.997,1017,2002,2002,film,,,
False,/lEGw5YRSN4WVY51Hadytked78nG.jpg,"[28, 35, 878]",11692,The Adventures of Pluto Nash,en,The Adventures of Pluto Nash,"The year is 2087, the setting is the moon. Pluto Nash, the high-flying successful owner of the hottest nightclub in the universe, finds himself in trouble when he refuses to sell his club to lunar gangster Mogan, who just happens to be helping the mysterious Rex Crater mastermind a plan to take over the entire moon.",2.8972,/96vvhLWWDosS1zRrfQ6XEGAzByL.jpg,2002-08-16,False,False,4.391,543,2002,2002,film,,,
False,/gxEsfgJxgqYL3hlg9yKNU8Qsycq.jpg,"[16, 878, 10749]",37910,Voices of a Distant Star,ja,ほしのこえ,"It is 2046 when a mysterious alien force begins their annihilation of the human race. Leaving behind the one person she loves, Mikako joins the interstellar battle as a pilot. And so - while Mikako risks her life to save mankind - Noboru waits. The two lovers, worlds apart, desperately strive to remain connected as the gap between them widens at a frightening pace.",2.8489,/mvRqW2z4iBws3CDkCNmojksyr4V.jpg,2002-02-02,False,False,6.541,339,2002,2002,film,,,
False,/fDkwRFthToJTJN1rhf9zAAA1fcF.jpg,"[28, 878, 53]",12636,Godzilla Against MechaGodzilla,ja,ゴジラ×メカゴジラ,"JSDF pilot Akane has a fateful encounter when a new Godzilla emerges in Tateyama. As a countermeasure, a cyborg named Kiryu is constructed from the remains of the original. The machine is discovered to harbor the restless soul of the original monster as Akane must learn to find value in her own life as well.",2.7596,/Kg6J3qyf80cwnKkv1YorSjkNaK.jpg,2002-11-02,False,False,7.487,266,2002,2002,film,,,
False,/k7CLxxoZXmVf1iKAY9xn5DpsNMQ.jpg,"[28, 12, 53, 878]",10550,Ballistic: Ecks vs. Sever,en,Ballistic: Ecks vs. Sever,"Jeremiah Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will.",2.5684,/7Jcb486hN7hQRZTsb0RybFGeDOQ.jpg,2002-09-20,False,False,4.351,400,2002,2002,film,,,
False,/tjCAyz2Tu2xdZSFJrtU4fQrZ32A.jpg,"[28, 878, 53]",11535,Rollerball,en,Rollerball,"In this fast action-packed thriller, Jonathan, Marcus, and Aurora compete in a dangerous, fierce sport called Rollerball. Although, Johnathan and Marcus try to quit, cruel and vindictive promoter Alexi Petrovich encourages them to still participate.",2.6472,/5Wquo3EjfDpK7S1BHcybuC3TZDO.jpg,2002-02-08,False,False,3.898,522,2002,2002,film,,,
False,/dAUPKVE0K7XPC02IepwrMduvYYa.jpg,"[53, 878]",10133,Cypher,en,Cypher,"An unsuspecting, disenchanted man finds himself working as a spy in the dangerous, high-stakes world of corporate espionage. Quickly getting way over-his-head, he teams up with a mysterious femme fatale.",2.664,/7wYwmDuCbdKF7sAcLj7eqrNaiam.jpg,2002-10-01,False,False,6.636,647,2002,2002,film,,,
False,/jv15ue6LHwIILO6wRsvHHCvRWUf.jpg,"[35, 10751, 878]",21605,Thunderpants,en,Thunderpants,"An 11-year-old boy's amazing ability to break wind leads him first to fame and then to death row, before it helps him to fulfill his ambition of becoming an astronaut.",2.7419,/dbN8UbXlCWbAFVmn8FdUsqSYWoe.jpg,2002-05-24,False,False,3.5,91,2002,2002,film,,,
False,/cHSWE4nW0VyoTDHGgTEwFIDuEUq.jpg,"[12, 10751, 14, 878, 10770]",16174,Snow Queen,en,Snow Queen,"Since a bitter winter storm stole the life of Gerda's mother, she and her father have sadly continued to run the remote hotel they call home. Lonely and isolated, Gerda's only joy is Kai, the handsome bellboy. A mysterious guest with an icy stare arrives at the hotel one night, wrapped in fur and diamonds. By daybreak, the ""Snow Queen"" has vanished with Kai! Gerda embarks on a journey of morphing seasons, fantastical creatures, and long-frozen mysteries in a desperate quest to find her stolen love.",2.4807,/qufo7G0OTQs1hMtO7B5axnCdm4E.jpg,2002-12-07,False,False,6.073,79,2002,2002,film,,,
False,/1VRN2RkNSO17RlubpHef97gHsLc.jpg,"[28, 12, 18, 878]",49516,Black Mask 2: City of Masks,en,黑俠2,The Black Mask must stop a group intent on setting off a DNA bomb that could cause mutations to the human race.,2.5218,/uc9rOZs8ybdZKQVi8zLwSiEP9kz.jpg,2002-12-24,False,False,4.575,60,2002,2002,film,,,
